tid,time_ms,event,value,explain
2012852224,357596855,sensor_task_3,3,end_after_ms
2012278784,357596859,sensor_task_4,8,end_after_ms
2011131904,357596859,sensor_task_4,11,end_after_ms
2011705344,357596862,sensor_task_2,12,end_after_ms
2012278784,357596879,middle_task_6,20,end_after_ms
2011705344,357596885,middle_task_3,23,end_after_ms
2011705344,357596892,sensor_task_1,7,end_after_ms
2012852224,357596893,middle_task_4,38,end_after_ms
2012278784,357596898,middle_task_11,19,end_after_ms
2012278784,357596906,sensor_task_4,8,end_after_ms
2011131904,357596908,middle_task_5,49,end_after_ms
2011705344,357596925,middle_task_1,33,end_after_ms
2012278784,357596926,middle_task_6,20,end_after_ms
2012852224,357596938,middle_task_2,45,end_after_ms
2011131904,357596943,middle_task_9,35,end_after_ms
2012278784,357596945,middle_task_11,19,end_after_ms
2011131904,357596952,middle_task_8,9,end_after_ms
2012278784,357596954,middle_task_12,9,end_after_ms
2012852224,357596955,middle_task_7,17,end_after_ms
2011131904,357596960,sensor_task_4,8,end_after_ms
2011705344,357596966,middle_task_10,41,end_after_ms
2012278784,357596966,exit_task_1,12,end_after_ms
2012852224,357596967,sensor_task_2,12,end_after_ms
2012278784,357596973,sensor_task_1,7,end_after_ms
2011705344,357596974,sensor_task_4,8,end_after_ms
2011131904,357596980,middle_task_6,20,end_after_ms
2012852224,357596990,middle_task_3,23,end_after_ms
2011131904,357596999,middle_task_11,19,end_after_ms
2011131904,357597002,sensor_task_3,3,end_after_ms
2012278784,357597006,middle_task_1,33,end_after_ms
2012852224,357597010,middle_task_6,20,end_after_ms
2011705344,357597019,middle_task_2,45,end_after_ms
2012852224,357597029,middle_task_11,19,end_after_ms
2011705344,357597036,middle_task_7,17,end_after_ms
2012852224,357597038,middle_task_8,9,end_after_ms
2011131904,357597040,middle_task_4,38,end_after_ms
2011705344,357597048,exit_task_1,12,end_after_ms
2012278784,357597055,middle_task_5,49,end_after_ms
2011705344,357597056,sensor_task_4,8,end_after_ms
2011131904,357597056,sensor_task_4,15,end_after_ms
2012852224,357597056,sensor_task_4,17,end_after_ms
2012852224,357597063,sensor_task_1,7,end_after_ms
2011705344,357597076,middle_task_6,20,end_after_ms
2012278784,357597090,middle_task_9,35,end_after_ms
2011705344,357597095,middle_task_11,19,end_after_ms
2012852224,357597096,middle_task_1,33,end_after_ms
2011131904,357597097,middle_task_10,41,end_after_ms
2012278784,357597099,middle_task_12,9,end_after_ms
2011131904,357597100,sensor_task_3,3,end_after_ms
2012278784,357597107,sensor_task_4,8,end_after_ms
2012852224,357597108,sensor_task_4,11,end_after_ms
2012852224,357597128,middle_task_6,20,end_after_ms
2011131904,357597138,middle_task_4,38,end_after_ms
2011705344,357597140,middle_task_2,45,end_after_ms
2012852224,357597147,middle_task_11,19,end_after_ms
2011131904,357597150,sensor_task_2,12,end_after_ms
2012852224,357597156,middle_task_8,9,end_after_ms
2012278784,357597157,middle_task_5,49,end_after_ms
2011705344,357597157,middle_task_7,17,end_after_ms
2012852224,357597168,exit_task_1,12,end_after_ms
2011131904,357597173,middle_task_3,23,end_after_ms
2011131904,357597181,sensor_task_4,8,end_after_ms
2012852224,357597181,sensor_task_4,13,end_after_ms
2012852224,357597189,sensor_task_4,8,end_after_ms
2012278784,357597192,middle_task_9,35,end_after_ms
2011705344,357597198,middle_task_10,41,end_after_ms
2012278784,357597201,middle_task_12,9,end_after_ms
2012278784,357597209,sensor_task_4,8,end_after_ms
2011705344,357597210,sensor_task_2,12,end_after_ms
2012278784,357597229,middle_task_6,20,end_after_ms
