,timestamp,cache_miss,num_core,num_colocate,execution_time
0,104,9016,4,6,43
1,193,4127,4,5,37
2,275,2958,4,4,28
3,428,2216,4,5,38
4,537,2522,4,3,31
5,704,6784,4,4,31
6,828,5194,4,4,41
7,932,7504,4,5,40
8,1027,4477,4,4,34
9,1098,2366,4,6,29
10,1203,2814,4,5,36
11,1340,2333,4,4,35
12,1422,7880,4,5,28
13,1521,6236,4,5,35
14,1626,3287,4,4,30
15,1789,7789,4,5,40
16,1875,2457,4,4,36
17,1982,4612,4,2,40
18,2133,4565,4,3,40
19,2225,2607,4,5,31
20,2332,2243,4,3,41
21,2487,5283,4,5,36
22,2610,4910,4,4,33
23,2702,4013,4,4,40
24,2800,3038,4,4,40
25,2928,5630,4,5,40
26,3065,2757,4,5,36
27,115,3896,6,2,31
28,219,3330,6,2,35
29,301,3357,6,3,27
30,463,3328,6,3,31
31,622,3165,6,4,30
32,771,1690,6,0,29
33,878,3529,6,2,28
34,999,3931,6,2,22
35,1167,2169,6,1,32
36,1307,2767,6,3,16
37,1425,3252,6,3,29
38,1503,5509,6,4,26
39,1574,3280,6,2,27
40,1706,2587,6,1,24
41,1818,1807,6,0,27
42,1958,2384,6,1,20
43,2043,3210,6,2,23
44,2134,3026,6,2,30
45,2226,1403,6,2,21
46,2372,2135,6,1,33
47,2480,2406,6,1,26
48,2600,1227,6,2,24
49,2675,3417,6,3,22
50,2807,3056,6,4,33
51,2955,4008,6,3,27
52,3097,4970,6,3,28
53,135,618,8,0,19
54,233,1429,8,1,28
55,303,1935,8,1,18
56,391,1070,8,2,30
57,475,1048,8,1,29
58,565,625,8,2,19
59,678,535,8,0,19
60,847,1300,8,2,18
61,972,597,8,2,28
62,1117,1131,8,3,20
63,1276,880,8,1,24
64,1403,1656,8,1,23
65,1503,595,8,2,18
66,1594,3258,8,2,28
67,1707,861,8,2,16
68,1803,703,8,1,18
69,1903,997,8,3,19
70,2048,623,8,2,29
71,2208,3250,8,2,18
72,2337,2339,8,1,18
73,2451,1588,8,1,21
74,2591,558,8,1,14
75,2717,2877,8,2,20
76,2860,1181,8,0,20
77,2975,1467,8,1,20
78,3124,1582,8,3,27
79,97,1621,10,1,18
80,174,1554,10,1,25
81,250,128,10,1,17
82,341,1810,10,2,23
83,468,2628,10,2,14
84,618,3471,10,3,8
85,741,507,10,0,22
86,836,2067,10,1,27
87,956,547,10,0,16
88,1027,1742,10,1,26
89,1196,2030,10,2,26
90,1331,1550,10,2,16
91,1424,1535,10,1,32
92,1571,1296,10,1,31
93,1706,1199,10,1,22
94,1861,1300,10,3,15
95,1948,326,10,0,26
96,2094,569,10,0,20
97,2226,384,10,0,21
98,2342,980,10,0,18
99,2469,996,10,1,16
100,2568,1028,10,1,21
101,2711,1021,10,2,13
102,2879,530,10,0,25
103,3040,2521,10,2,33
104,135,834,12,0,24
105,210,2110,12,1,17
106,292,144,12,0,21
107,392,773,12,0,24
108,519,1686,12,1,20
109,651,2598,12,2,23
110,727,363,12,0,11
111,830,1982,12,2,16
112,987,1081,12,0,18
113,1123,2015,12,2,14
114,1248,1124,12,1,19
115,1393,302,12,0,18
116,1548,564,12,0,15
117,1619,1656,12,1,13
118,1715,2263,12,2,26
119,1790,1714,12,1,22
120,1950,1379,12,1,17
121,2057,418,12,0,23
122,2145,943,12,2,12
123,2265,494,12,2,26
124,2423,838,12,0,13
125,2493,577,12,0,20
126,2572,607,12,0,24
127,2698,1703,12,2,15
128,2824,556,12,2,24
129,2949,450,12,0,19
130,3104,600,12,0,28
131,96,1258,14,1,23
132,209,288,14,0,11
133,357,858,14,0,16
134,469,1696,14,2,9
135,549,2017,14,1,22
136,620,755,14,0,30
137,772,785,14,0,16
138,865,444,14,0,24
139,944,296,14,0,17
140,1014,270,14,0,22
141,1173,392,14,0,21
142,1295,639,14,0,10
143,1390,943,14,0,14
144,1557,840,14,1,16
145,1650,309,14,0,29
146,1802,345,14,2,27
147,1933,566,14,1,32
148,2023,851,14,1,17
149,2127,946,14,0,14
150,2290,778,14,1,23
151,2379,293,14,0,18
152,2463,486,14,0,15
153,2596,1121,14,1,16
154,2725,1562,14,1,14
155,2834,329,14,0,24
156,2970,1032,14,0,13
157,3120,2068,14,1,22
158,146,375,16,0,16
159,304,233,16,0,17
160,419,192,16,0,14
161,509,404,16,0,15
162,651,154,16,0,22
163,753,426,16,0,18
164,919,409,16,0,18
165,1068,448,16,0,20
166,1231,225,16,0,13
167,1340,539,16,0,15
168,1433,858,16,0,16
169,1567,534,16,0,23
170,1728,394,16,0,19
171,1831,302,16,0,19
172,1912,395,16,0,21
173,2044,316,16,0,11
174,2158,138,16,0,20
175,2260,181,16,0,13
176,2384,910,16,0,20
177,2476,1005,16,0,19
178,2551,243,16,0,26
179,2663,836,16,0,21
180,2769,672,16,0,27
181,2881,865,16,0,21
182,2978,206,16,0,11
183,3114,309,16,0,20
