core,tid,time_ms,event,value,explain
1,3005138496,1680466766084,exit_task_1,12,end_after_ms
1,3005138496,1680466766084,sensor_task_3,79,assign_id
1,3005138496,1680466766084,sensor_task_3,79,execute_id
1,3005138496,1680466766087,sensor_task_3,0,cpu_utilization
1,3005138496,1680466766087,sensor_task_3,0,total_memory_accesses
1,3005138496,1680466766087,sensor_task_3,3,end_after_ms
1,3005138496,1680466766087,sensor_task_1,94,invoke_id
1,3005138496,1680466766087,sensor_task_4,95,invoke_id
1,3005138496,1680466766087,middle_task_4,96,invoke_id
1,3005138496,1680466766087,middle_task_5,97,invoke_id
1,3005138496,1680466766087,middle_task_4,96,assign_id
1,3005138496,1680466766087,middle_task_4,96,execute_id
0,3021923904,1680466766103,middle_task_11,9223372036854775808,cpu_utilization
0,3021923904,1680466766103,middle_task_11,0,total_memory_accesses
0,3021923904,1680466766103,middle_task_11,19,end_after_ms
0,3021923904,1680466766103,sensor_task_1,98,invoke_id
0,3021923904,1680466766103,sensor_task_2,99,invoke_id
0,3021923904,1680466766103,sensor_task_3,100,invoke_id
0,3021923904,1680466766103,sensor_task_4,101,invoke_id
0,3021923904,1680466766103,middle_task_5,97,assign_id
0,3021923904,1680466766103,middle_task_5,97,execute_id
2,2988353088,1680466766104,middle_task_6,9223372036854775808,cpu_utilization
2,2988353088,1680466766104,middle_task_6,0,total_memory_accesses
2,2988353088,1680466766104,middle_task_6,20,end_after_ms
2,2988353088,1680466766104,middle_task_11,102,invoke_id
2,2988353088,1680466766104,middle_task_11,102,assign_id
2,2988353088,1680466766104,middle_task_11,102,execute_id
2,2988353088,1680466766123,middle_task_11,0,cpu_utilization
2,2988353088,1680466766123,middle_task_11,0,total_memory_accesses
2,2988353088,1680466766123,middle_task_11,19,end_after_ms
2,2988353088,1680466766123,sensor_task_1,103,invoke_id
2,2988353088,1680466766123,sensor_task_2,104,invoke_id
2,2988353088,1680466766123,sensor_task_3,105,invoke_id
2,2988353088,1680466766123,sensor_task_4,106,invoke_id
2,2988353088,1680466766123,sensor_task_4,90,assign_id
2,2988353088,1680466766123,sensor_task_4,90,execute_id
1,3005138496,1680466766125,middle_task_4,0,cpu_utilization
1,3005138496,1680466766125,middle_task_4,0,total_memory_accesses
1,3005138496,1680466766125,middle_task_4,38,end_after_ms
1,3005138496,1680466766125,sensor_task_4,101,assign_id
1,3005138496,1680466766125,sensor_task_4,101,execute_id
2,2988353088,1680466766133,sensor_task_4,9223372036854775808,cpu_utilization
2,2988353088,1680466766133,sensor_task_4,0,total_memory_accesses
2,2988353088,1680466766133,sensor_task_4,10,end_after_ms
1,3005138496,1680466766133,sensor_task_4,0,cpu_utilization
1,3005138496,1680466766133,sensor_task_4,0,total_memory_accesses
1,3005138496,1680466766133,sensor_task_4,8,end_after_ms
2,2988353088,1680466766133,sensor_task_1,109,invoke_id
2,2988353088,1680466766133,sensor_task_2,110,invoke_id
2,2988353088,1680466766133,sensor_task_3,111,invoke_id
2,2988353088,1680466766133,sensor_task_4,112,invoke_id
2,2988353088,1680466766133,middle_task_6,113,invoke_id
2,2988353088,1680466766133,middle_task_6,113,assign_id
2,2988353088,1680466766133,sensor_task_2,65,assign_id
1,3005138496,1680466766133,middle_task_6,113,execute_id
2,2988353088,1680466766133,sensor_task_2,65,execute_id
2,2988353088,1680466766145,sensor_task_2,0,cpu_utilization
2,2988353088,1680466766145,sensor_task_2,0,total_memory_accesses
2,2988353088,1680466766145,sensor_task_2,12,end_after_ms
2,2988353088,1680466766145,sensor_task_1,115,invoke_id
2,2988353088,1680466766145,sensor_task_2,116,invoke_id
2,2988353088,1680466766145,sensor_task_3,117,invoke_id
2,2988353088,1680466766145,sensor_task_4,118,invoke_id
2,2988353088,1680466766145,middle_task_3,119,invoke_id
2,2988353088,1680466766145,middle_task_3,119,assign_id
2,2988353088,1680466766145,middle_task_3,119,execute_id
0,3021923904,1680466766152,middle_task_5,9223372036854775808,cpu_utilization
0,3021923904,1680466766152,middle_task_5,0,total_memory_accesses
0,3021923904,1680466766152,middle_task_5,49,end_after_ms
0,3021923904,1680466766152,sensor_task_2,120,invoke_id
0,3021923904,1680466766152,sensor_task_4,121,invoke_id
0,3021923904,1680466766152,middle_task_9,122,invoke_id
0,3021923904,1680466766152,middle_task_10,123,invoke_id
0,3021923904,1680466766152,middle_task_9,122,assign_id
0,3021923904,1680466766152,middle_task_9,122,execute_id
1,3005138496,1680466766153,middle_task_6,9223372036854775808,cpu_utilization
1,3005138496,1680466766153,middle_task_6,0,total_memory_accesses
1,3005138496,1680466766153,middle_task_6,20,end_after_ms
1,3005138496,1680466766153,sensor_task_3,124,invoke_id
1,3005138496,1680466766153,middle_task_11,125,invoke_id
1,3005138496,1680466766153,middle_task_10,123,assign_id
1,3005138496,1680466766153,middle_task_10,123,execute_id
2,2988353088,1680466766168,middle_task_3,9223372036854775808,cpu_utilization
2,2988353088,1680466766168,middle_task_3,0,total_memory_accesses
2,2988353088,1680466766168,middle_task_3,23,end_after_ms
2,2988353088,1680466766168,sensor_task_1,126,invoke_id
2,2988353088,1680466766168,sensor_task_2,127,invoke_id
2,2988353088,1680466766168,sensor_task_3,128,invoke_id
2,2988353088,1680466766168,sensor_task_4,129,invoke_id
2,2988353088,1680466766168,middle_task_11,125,assign_id
2,2988353088,1680466766168,middle_task_11,125,execute_id
0,3021923904,1680466766187,middle_task_9,0,cpu_utilization
0,3021923904,1680466766187,middle_task_9,0,total_memory_accesses
0,3021923904,1680466766187,middle_task_9,35,end_after_ms
0,3021923904,1680466766187,sensor_task_1,130,invoke_id
0,3021923904,1680466766187,sensor_task_2,131,invoke_id
0,3021923904,1680466766187,sensor_task_3,132,invoke_id
0,3021923904,1680466766187,sensor_task_4,133,invoke_id
0,3021923904,1680466766187,middle_task_12,134,invoke_id
0,3021923904,1680466766187,middle_task_12,134,assign_id
0,3021923904,1680466766187,middle_task_12,134,execute_id
2,2988353088,1680466766187,middle_task_11,0,cpu_utilization
2,2988353088,1680466766187,middle_task_11,0,total_memory_accesses
2,2988353088,1680466766187,middle_task_11,19,end_after_ms
2,2988353088,1680466766187,sensor_task_4,106,assign_id
2,2988353088,1680466766187,sensor_task_4,106,execute_id
1,3005138496,1680466766194,middle_task_10,9223372036854775808,cpu_utilization
1,3005138496,1680466766194,middle_task_10,0,total_memory_accesses
1,3005138496,1680466766194,middle_task_10,41,end_after_ms
1,3005138496,1680466766194,sensor_task_2,136,invoke_id
1,3005138496,1680466766194,sensor_task_3,137,invoke_id
1,3005138496,1680466766194,sensor_task_4,138,invoke_id
1,3005138496,1680466766194,sensor_task_4,133,assign_id
1,3005138496,1680466766194,sensor_task_4,133,execute_id
0,3021923904,1680466766196,middle_task_12,9223372036854775808,cpu_utilization
0,3021923904,1680466766196,middle_task_12,0,total_memory_accesses
0,3021923904,1680466766196,middle_task_12,9,end_after_ms
0,3021923904,1680466766196,sensor_task_4,129,assign_id
0,3021923904,1680466766196,sensor_task_4,129,execute_id
0,3021923904,1680466766204,sensor_task_4,0,cpu_utilization
0,3021923904,1680466766204,sensor_task_4,0,total_memory_accesses
0,3021923904,1680466766204,sensor_task_4,8,end_after_ms
1,3005138496,1680466766204,sensor_task_4,9223372036854775808,cpu_utilization
1,3005138496,1680466766204,sensor_task_4,0,total_memory_accesses
1,3005138496,1680466766204,sensor_task_4,9,end_after_ms
2,2988353088,1680466766204,sensor_task_4,9223372036854775808,cpu_utilization
2,2988353088,1680466766204,sensor_task_4,0,total_memory_accesses
2,2988353088,1680466766204,sensor_task_4,16,end_after_ms
1,3005138496,1680466766204,sensor_task_1,141,invoke_id
1,3005138496,1680466766204,sensor_task_2,142,invoke_id
1,3005138496,1680466766204,sensor_task_3,143,invoke_id
1,3005138496,1680466766204,sensor_task_4,144,invoke_id
1,3005138496,1680466766204,middle_task_6,145,invoke_id
1,3005138496,1680466766204,middle_task_6,145,assign_id
1,3005138496,1680466766204,sensor_task_2,131,assign_id
1,3005138496,1680466766204,sensor_task_4,138,assign_id
0,3021923904,1680466766204,middle_task_6,145,execute_id
1,3005138496,1680466766204,sensor_task_2,131,execute_id
2,2988353088,1680466766204,sensor_task_4,138,execute_id
2,2988353088,1680466766212,sensor_task_4,0,cpu_utilization
2,2988353088,1680466766212,sensor_task_4,0,total_memory_accesses
2,2988353088,1680466766212,sensor_task_4,8,end_after_ms
2,2988353088,1680466766212,sensor_task_2,148,invoke_id
2,2988353088,1680466766212,sensor_task_3,149,invoke_id
2,2988353088,1680466766212,sensor_task_4,150,invoke_id
2,2988353088,1680466766212,middle_task_6,151,invoke_id
2,2988353088,1680466766212,middle_task_6,151,assign_id
2,2988353088,1680466766212,middle_task_6,151,execute_id
1,3005138496,1680466766216,sensor_task_2,0,cpu_utilization
1,3005138496,1680466766216,sensor_task_2,0,total_memory_accesses
